Year;SFH;DFH;MFH;Bellinzona;Blenio;Leventina;Locarno;Lugano;Mendrisio;Riviera;Vallemaggia
2011;391;60;86;137;8;8;116;158;68;21;21
2012;545;117;138;155;13;8;188;314;75;30;17
2013;837;176;221;236;8;14;300;494;79;56;47
2014;1049;262;228;215;24;17;422;563;132;86;80
2015;777;168;286;150;18;20;397;421;162;33;30
2016;783;228;242;148;20;13;497;418;91;33;33
2017;633;152;228;182;73;21;199;382;94;34;28
2018;620;137;205;153;34;29;178;370;76;93;29
2019;616;171;211;245;37;27;191;315;107;41;35
2020;640;131;174;160;18;41;183;343;111;54;35
2021;693;172;195;152;27;27;201;392;191;37;33
2022;1027;288;282;276;31;48;334;565;207;74;62
2023;1378;420;295;349;31;65;478;744;287;70;69
2024;1071;367;291;273;43;54;359;699;218;41;42
